"Statewide Allocation Detail"
"August 2019 - August 2023"
"Report Date: 09/28/2023 19:14 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Abingdon","ABBE LANES BOWLING & ENTERTAINMENT LLC","180702343","4","3295139.1400","3025138.6400","270000.5000","950797.0000","680796.9300","270000.0700","91519.0700","78019.0400","13500.0300",
"Abingdon","AT'S Pub & Sport LLC","210700197","5","562807.0100","529586.4800","33220.5300","187887.0000","154666.4700","33220.5300","11295.0400","9633.9900","1661.0500",
"Abingdon","JP FOOD & LIQUOR , INC.","220701041","6","3435601.5700","3117665.6100","317935.9600","1021427.0000","703488.8900","317938.1100","108098.9400","92202.0400","15896.9000",
"Abingdon","MA & PA LIQUOR'S INC.","200702153","6","9707785.7000","8887964.9600","819820.7400","2764182.0000","1944361.1600","819820.8400","278739.5800","237748.5100","40991.0700",
"Abingdon","Skeeter's Place, Inc.","120704053","5","3354301.9900","3086378.1600","267923.8300","1148570.0000","880644.4200","267925.5800","90807.9800","77411.6200","13396.3600",
"Abingdon","The Harry E Wiles Post No. 381, The American Legion","120903651","5","5882917.5400","5407559.5300","475358.0100","1983772.0000","1508414.5000","475357.5000","161038.3600","137270.4800","23767.8800",
"Abingdon","VICTORY TAVERN, INC.","120704046","6","16367971.2400","15030209.7800","1337761.4600","4744529.0000","3406767.4700","1337761.5300","452766.2100","385878.0900","66888.1200",
"Adams County","4LEAF LOUNGE & GAMING LLC","190703535","6","18189548.5800","16501924.0400","1687624.5400","5296428.0000","3608803.4600","1687624.5400","573596.7700","489215.4300","84381.3400",
"Adams County","BLUE DOG SALOON, LLC","190702026","3","1315236.8200","1192421.0200","122815.8000","441444.0000","318628.2000","122815.8000","41757.5200","35616.7200","6140.8000",
"Adams County","BLUEHAVEN ENTERPRISES, LLC ","170702474","3","820073.7300","727597.4700","92476.2600","301653.0000","209176.7400","92476.2600","31383.6400","26759.7900","4623.8500",
"Adams County","Bradley Wiewel","170700147","6","3655054.9600","3295162.0000","359892.9600","1448170.0000","1088277.0400","359892.9600","121171.2000","103176.5200","17994.6800",
"Adams County","DOWN ON THE CORNER, LTD.","130704834","6","5830422.2800","5349456.6700","480965.6100","1865797.0000","1384830.9100","480966.0900","162768.5400","138720.1400","24048.4000",
"Adams County","EAST SIDE SLOTS LLC","210702717","6","2384850.3200","2111426.1100","273424.2100","851513.0000","578088.7900","273424.2100","92964.2200","79293.0000","13671.2200",
"Adams County","Emma A. Blair","150701794","5","1029138.5400","934905.4100","94233.1300","360990.0000","266756.8700","94233.1300","31795.4900","27083.8000","4711.6900",
"Adams County","GRM SILVER DOLLAR LLC","210703126","6","2012083.1600","1804917.1000","207166.0600","733980.0000","526813.9400","207166.0600","70436.8300","60078.5000","10358.3300",
"Adams County","GROVE INN, INC","120707190","6","14426357.1300","12905728.2100","1520628.9200","4608536.0000","3087605.5900","1520930.4100","514316.8900","438270.3500","76046.5400",
"Adams County","JAY & NANCY'S TAVERN, INC.","120700767","6","9461842.9700","8661559.9900","800282.9800","2902676.0000","2102392.7700","800283.2300","271451.6100","231437.3900","40014.2200",
"Adams County","JEC Entertainment, LLC","180702588","6","4277392.7400","3875437.8400","401954.9000","1481676.0000","1079721.1000","401954.9000","136127.1500","116029.3500","20097.8000",
"Adams County","Quincy Cedar Crest Country Club","150700113","6","3940768.7500","3505288.0500","435480.7000","1339202.0000","903614.3000","435587.7000","147304.7900","125525.3300","21779.4600",
"Adams County","QUINCY LAND DEVELOPERS, L.L.C.","190704012","6","16764167.6400","15005921.9300","1758245.7100","5237584.0000","3479252.4200","1758331.5800","597833.5900","509916.9100","87916.6800",
"Adams County","Red Dog Saloon 2, LLC","170701835","4","1421732.1800","1293271.6100","128460.5700","587275.0000","458814.4300","128460.5700","43467.7900","37044.7400","6423.0500",
"Adams County","SPINNERS LOUNGE LLC","210702495","6","2242089.2400","2013186.1600","228903.0800","689609.0000","460705.9200","228903.0800","77827.3300","66382.1100","11445.2200",
"Adams County","SPIRIT KNOB WINERY, INC.","220703782","2","5167.6600","4299.5700","868.0900","2169.0000","1300.9100","868.0900","295.1400","251.7500","43.3900",
"Adams County","SPRING LAKE ASSOCIATION","140703974","2","534257.4000","483935.2000","50322.2000","146590.0000","95755.6200","50834.3800","17186.3600","14644.6500","2541.7100",
"Adams County","TWIN OAKS CLUB","130705620","4","5003646.8700","4593967.3100","409679.5600","1299276.0000","889595.5200","409680.4800","138956.7000","118472.6300","20484.0700",
"Adams County","WILCO FAST BREAK, INC.","150701437","6","17460075.6900","15840372.5400","1619703.1500","5464585.0000","3844875.0100","1619709.9900","548170.0900","467184.4900","80985.6000",
"Addieville","Frederking's Eagles Nest, Inc.","150704220","6","5228035.7500","4800637.5800","427398.1700","1989076.0000","1561676.5800","427399.4200","144774.1400","123404.0900","21370.0500",
"Addison","Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.","120905892","6","6853455.9400","6224202.3200","629253.6200","2293145.0000","1663891.3800","629253.6200","213163.7500","181700.9900","31462.7600",
"Addison","Blackhawk Restaurant Group, LLC Series AGMAddison","130705201","6","47064940.0700","43253590.4800","3811349.5900","14987907.0000","11176556.4100","3811350.5900","1290988.1900","1100420.6200","190567.5700",
"Addison","Caputo's New Farm Produce-Addison, Inc.","210703361","5","3395204.3700","3090437.0200","304767.3500","1207726.0000","902958.6000","304767.4000","103621.2400","88382.8100","15238.4300",
