Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
0,Abingdon,ABBE LANES BOWLING & ENTERTAINMENT LLC,180702343.0,4.0,3295139.14,3025138.64,270000.5,950797.0,680796.93,270000.07,91519.07,78019.04,13500.03
1,Abingdon,AT'S Pub & Sport LLC,210700197.0,5.0,562807.01,529586.48,33220.53,187887.0,154666.47,33220.53,11295.04,9633.99,1661.05
2,Abingdon,"JP FOOD & LIQUOR , INC.",220701041.0,6.0,3435601.57,3117665.61,317935.96,1021427.0,703488.89,317938.11,108098.94,92202.04,15896.9
3,Abingdon,MA & PA LIQUOR'S INC.,200702153.0,6.0,9707785.7,8887964.96,819820.74,2764182.0,1944361.16,819820.84,278739.58,237748.51,40991.07
4,Abingdon,"Skeeter's Place, Inc.",120704053.0,5.0,3354301.99,3086378.16,267923.83,1148570.0,880644.42,267925.58,90807.98,77411.62,13396.36
5,Abingdon,"The Harry E Wiles Post No. 381, The American Legion",120903651.0,5.0,5882917.54,5407559.53,475358.01,1983772.0,1508414.5,475357.5,161038.36,137270.48,23767.88
6,Abingdon,"VICTORY TAVERN, INC.",120704046.0,6.0,16367971.24,15030209.78,1337761.46,4744529.0,3406767.47,1337761.53,452766.21,385878.09,66888.12
7,Adams County,4LEAF LOUNGE & GAMING LLC,190703535.0,6.0,18189548.58,16501924.04,1687624.54,5296428.0,3608803.46,1687624.54,573596.77,489215.43,84381.34
8,Adams County,"BLUE DOG SALOON, LLC",190702026.0,3.0,1315236.82,1192421.02,122815.8,441444.0,318628.2,122815.8,41757.52,35616.72,6140.8
9,Adams County,"BLUEHAVEN ENTERPRISES, LLC ",170702474.0,3.0,820073.73,727597.47,92476.26,301653.0,209176.74,92476.26,31383.64,26759.79,4623.85
10,Adams County,Bradley Wiewel,170700147.0,6.0,3655054.96,3295162.0,359892.96,1448170.0,1088277.04,359892.96,121171.2,103176.52,17994.68
11,Adams County,"DOWN ON THE CORNER, LTD.",130704834.0,6.0,5830422.28,5349456.67,480965.61,1865797.0,1384830.91,480966.09,162768.54,138720.14,24048.4
12,Adams County,EAST SIDE SLOTS LLC,210702717.0,6.0,2384850.32,2111426.11,273424.21,851513.0,578088.79,273424.21,92964.22,79293.0,13671.22
13,Adams County,Emma A. Blair,150701794.0,5.0,1029138.54,934905.41,94233.13,360990.0,266756.87,94233.13,31795.49,27083.8,4711.69
14,Adams County,GRM SILVER DOLLAR LLC,210703126.0,6.0,2012083.16,1804917.1,207166.06,733980.0,526813.94,207166.06,70436.83,60078.5,10358.33
15,Adams County,"GROVE INN, INC",120707190.0,6.0,14426357.13,12905728.21,1520628.92,4608536.0,3087605.59,1520930.41,514316.89,438270.35,76046.54
16,Adams County,"JAY & NANCY'S TAVERN, INC.",120700767.0,6.0,9461842.97,8661559.99,800282.98,2902676.0,2102392.77,800283.23,271451.61,231437.39,40014.22
17,Adams County,"JEC Entertainment, LLC",180702588.0,6.0,4277392.74,3875437.84,401954.9,1481676.0,1079721.1,401954.9,136127.15,116029.35,20097.8
18,Adams County,Quincy Cedar Crest Country Club,150700113.0,6.0,3940768.75,3505288.05,435480.7,1339202.0,903614.3,435587.7,147304.79,125525.33,21779.46
19,Adams County,"QUINCY LAND DEVELOPERS, L.L.C.",190704012.0,6.0,16764167.64,15005921.93,1758245.71,5237584.0,3479252.42,1758331.58,597833.59,509916.91,87916.68
20,Adams County,"Red Dog Saloon 2, LLC",170701835.0,4.0,1421732.18,1293271.61,128460.57,587275.0,458814.43,128460.57,43467.79,37044.74,6423.05
21,Adams County,SPINNERS LOUNGE LLC,210702495.0,6.0,2242089.24,2013186.16,228903.08,689609.0,460705.92,228903.08,77827.33,66382.11,11445.22
22,Adams County,"SPIRIT KNOB WINERY, INC.",220703782.0,2.0,5167.66,4299.57,868.09,2169.0,1300.91,868.09,295.14,251.75,43.39
23,Adams County,SPRING LAKE ASSOCIATION,140703974.0,2.0,534257.4,483935.2,50322.2,146590.0,95755.62,50834.38,17186.36,14644.65,2541.71
24,Adams County,TWIN OAKS CLUB,130705620.0,4.0,5003646.87,4593967.31,409679.56,1299276.0,889595.52,409680.48,138956.7,118472.63,20484.07
25,Adams County,"WILCO FAST BREAK, INC.",150701437.0,6.0,17460075.69,15840372.54,1619703.15,5464585.0,3844875.01,1619709.99,548170.09,467184.49,80985.6
26,Addieville,"Frederking's Eagles Nest, Inc.",150704220.0,6.0,5228035.75,4800637.58,427398.17,1989076.0,1561676.58,427399.42,144774.14,123404.09,21370.05
27,Addison,"Addison Post No. 7446, Veterans of Foreign Wars of the United States, Inc.",120905892.0,6.0,6853455.94,6224202.32,629253.62,2293145.0,1663891.38,629253.62,213163.75,181700.99,31462.76
28,Addison,"Blackhawk Restaurant Group, LLC Series AGMAddison",130705201.0,6.0,47064940.07,43253590.48,3811349.59,14987907.0,11176556.41,3811350.59,1290988.19,1100420.62,190567.57
29,Addison,"Caputo's New Farm Produce-Addison, Inc.",210703361.0,5.0,3395204.37,3090437.02,304767.35,1207726.0,902958.6,304767.4,103621.24,88382.81,15238.43
30,Addison,"CHAIDEZ, INC.",150703584.0,5.0,4751923.34,4329415.9,422507.44,1695138.0,1272630.25,422507.75,142705.72,121580.3,21125.42
31,Addison,"CRANE INVESTMENT HOLDINGS II, LLC",140704084.0,4.0,4655236.92,4243315.1,411921.82,1591223.0,1179300.98,411922.02,139176.6,118580.46,20596.14
32,Addison,"DUNKLEY'S, LLC",180700131.0,6.0,18724326.68,17051198.32,1673128.36,6074372.0,4400523.23,1673848.77,567366.81,483674.32,83692.49
33,Addison,"El Paisano Food & Liquors, Inc.",140701330.0,6.0,17455437.45,15781488.47,1673948.98,5719705.0,4045726.31,1673978.69,566830.98,483132.02,83698.96
34,Addison,"HAMMERHEAD ENTERTAINMENT, INC.",120712603.0,6.0,23060658.85,20824405.56,2236253.29,7949674.0,5713402.33,2236271.67,756566.17,644752.51,111813.66
35,Addison,"Icon Entertainment, LLC",120712413.0,6.0,23152472.53,21078887.53,2073585.0,7294284.0,5220530.37,2073753.63,702704.21,599016.4,103687.81
36,Addison,ILIOS 22 INC.,220701594.0,6.0,1947846.24,1766204.46,181641.78,801077.0,619435.22,181641.78,61758.31,52676.23,9082.08
37,Addison,"Illinois Café & Service Company, LLC",140700208.0,6.0,3264641.42,2970996.87,293644.55,988474.0,694829.45,293644.55,96902.95,82220.7,14682.25
38,Addison,J & G Corporation,120712348.0,6.0,30447800.7,27690877.59,2756923.11,10922450.0,8165494.63,2756955.37,933691.71,795843.93,137847.78
39,Addison,"JB Addison, LLC",220700285.0,3.0,498138.66,460948.71,37189.95,197311.0,160001.05,37309.95,12538.97,10695.0,1843.97
40,Addison,"KAGG LOUNGE, INC.",120712353.0,6.0,24388336.06,22155674.0,2232662.06,8832668.0,6600005.94,2232662.06,755607.54,643974.41,111633.13
41,Addison,Krage's Inc.,220702783.0,6.0,150686.87,128345.71,22341.16,62674.0,40332.84,22341.16,7596.04,6478.97,1117.07
42,Addison,"La Bella Bistro, Inc.",120712422.0,6.0,28447063.35,25961038.67,2486024.68,8144174.0,5658148.71,2486025.29,840920.1,716618.76,124301.34
43,Addison,La Magdalena 321 Inc.,170704214.0,2.0,598525.86,547971.69,50554.17,228441.0,177886.83,50554.17,17089.88,14562.18,2527.7
44,Addison,Lacey's Place LLC Series Addison,160700946.0,6.0,48073623.9,43407996.94,4665626.96,15882404.0,11216733.14,4665670.86,1581444.89,1348161.28,233283.61
45,Addison,Lacey's Place LLC Series Addison 2,160704096.0,6.0,36059783.66,32773754.61,3286029.05,11655533.0,8369379.25,3286153.75,1113512.03,949204.22,164307.81
46,Addison,"Lake St. And Medinah Rd., Inc.",140700227.0,6.0,45860147.61,41890606.94,3969540.67,14598938.0,10629390.34,3969547.66,1344980.64,1146503.1,198477.54
47,Addison,"LAURA BIZAURA, LLC - SERIES 3 - LAKE STREET",220702232.0,6.0,4518024.9,4164736.94,353287.96,1487121.0,1133833.04,353287.96,120118.03,102453.63,17664.4
48,Addison,"LUCKI CAFE, INC.",160700613.0,6.0,7561494.9,6881116.61,680378.29,2324368.0,1643984.58,680383.42,229703.56,195684.41,34019.15
49,Addison,"Millie's Pancake Shoppe II, INC.",210702977.0,6.0,3746555.74,3418251.55,328304.19,1236900.0,908595.81,328304.19,111623.68,95208.41,16415.27
50,Addison,"PAPPOUS, INC.",200700619.0,4.0,618867.16,567472.91,51394.25,234494.0,183099.75,51394.25,17474.17,14904.44,2569.73
51,Addison,"R.E. Plan, LLC",170703978.0,6.0,8646402.06,7837604.91,808797.15,3068749.0,2259902.25,808846.75,274327.08,233884.69,40442.39
52,Addison,"RNA, INC.",210703856.0,5.0,1753466.73,1594674.29,158792.44,579026.0,420233.56,158792.44,53330.41,45390.77,7939.64
53,Addison,RSB TAVERN INC.,210703187.0,6.0,4215262.64,3806640.92,408621.72,1516523.0,1107901.28,408621.72,138931.82,118500.68,20431.14
54,Addison,"SEK ENTERPRISES, INC.",130703780.0,5.0,3941652.75,3641413.93,300238.82,1177345.0,877106.18,300238.82,101064.3,86052.39,15011.91
55,Addison,"SHOELESS JOE'S ALE HOUSE AND GRILLE, LLC",160702750.0,6.0,16438195.29,15007052.97,1431142.32,5654596.0,4223453.72,1431142.28,484920.98,413363.76,71557.22
56,Addison,"Sunmist Restaurant, Inc.",130703357.0,4.0,7276.54,6454.25,822.29,2198.0,1359.81,838.19,276.59,234.68,41.91
57,Addison,"TAQUERIA LOS TRES POTRILLOS, INC.",190701738.0,3.0,764548.53,703107.29,61441.24,248344.0,186861.31,61482.69,20904.52,17830.33,3074.19
